127.0.0.1 - - [17/Jan/2020:13:44:44 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:44:53 +0900] "GET /Java_Test01/_05_file/01_main_test.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:44:53 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:45:11 +0900] "GET /Java_Test01/_07_board/01_board_main_test.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:45:12 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:45:15 +0900] "GET /Java_Test01/_07_board/02_board_write_test.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:45:19 +0900] "GET /Java_Test01/_07_board/04_board_list_test.jsp HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:45:22 +0900] "GET /Java_Test01/_07_board/12_board_dummyPro_test.jsp HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:45:36 +0900] "GET /Java_Test01/_07_board/02_board_write_test.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:45:37 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:45:58 +0900] "GET /Java_Test01/_07_board/03_board_writePro_test.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:45:58 +0900] "GET /Java_Test01/_07_board/04_board_list_test.jsp HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:45:59 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:46:02 +0900] "GET /Java_Test01/_07_board/05_board_info_test.jsp?num=1 HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:51:22 +0900] "GET /Java_Test01/_07_board/05_board_info_test.jsp HTTP/1.1" 500 2860
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:51:23 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:52:19 +0900] "GET /Java_Test01/_07_board/05_board_info_test.jsp HTTP/1.1" 500 2860
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:52:20 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jan/2020:13:53:44 +0900] "GET /_jsp_01_basic/_07_board/05_board_info.jsp HTTP/1.1" 500 2832
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:03:47 +0900] "GET /Java_Test01/_07_board/01_board_main_test.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:04:01 +0900] "GET /Java_Test01/_07_board/02_board_write_test.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:04:47 +0900] "POST /Java_Test01/_07_board/03_board_writePro_test.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:04:47 +0900] "GET /Java_Test01/_07_board/04_board_list_test.jsp HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:05:41 +0900] "GET /Java_Test01/_07_board/04_board_list_test.jsp HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:06:04 +0900] "GET /Java_Test01/_07_board/01_board_main_test.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:06:05 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:06:14 +0900] "GET /Java_Test01/_07_board/02_board_write_test.jsp HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:06:15 +0900] "GET /Java_Test01/_07_board/04_board_list_test.jsp HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:07:08 +0900] "GET /Java_Test01/_07_board/04_board_list_test.jsp HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:18:58 +0900] "GET /Java_Test01/_07_board/04_board_list_test.jsp?pageNum=1 HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:26:01 +0900] "GET /Java_Test01/_07_board/05_board_info_test.jsp?num=2 HTTP/1.1" 200 1576
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:34:28 +0900] "GET /Java_Test01/_07_board/05_board_info_test.jsp?num=2 HTTP/1.1" 200 1576
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:34:30 +0900] "GET /Java_Test01/_07_board/04_board_list_test.jsp HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:34:32 +0900] "GET /Java_Test01/_07_board/05_board_info_test.jsp?num=2 HTTP/1.1" 200 1576
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:34:33 +0900] "GET /Java_Test01/_07_board/04_board_list_test.jsp HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:34:35 +0900] "GET /Java_Test01/_07_board/05_board_info_test.jsp?num=2 HTTP/1.1" 200 1576
0:0:0:0:0:0:0:1 - - [17/Jan/2020:14:35:38 +0900] "GET /Java_Test01/_07_board/04_board_list_test.jsp HTTP/1.1" 200 1471
